Respondent,Question 1 responses,,,,Question 2 Responses,,,,,,,,,,,,Question 3 responses,,,
,Target,Whole Foods,Costco,Trader Joe's,Target Price,Target Quality,Target Variety,Whole Foods Price,Whole Foods Quality,Whole Foods Variety,Costco Price,Costco Quality,Costco Variety,Trader Joes Price,Trader Joes Quality,Trader Joes Variety,Target,Whole Foods,Costco,Trader Joes
1,2,4,1,3,2,4,4,1,3,3,5,5,4,3,4,4,30,0,60,10
2,1,4,3,2,4,4,5,3,3,3,5,5,5,5,5,5,25,15,15,50
3,2,1,3,4,4,4,4,2,4,4,1,4,5,1,4,5,25,10,50,15
4,1,3,4,2,4,4,4,2,5,3,5,3,4,2,4,4,50,15,10,25
5,1,4,2,3,4,4,5,2,4,4,5,4,5,3,3,3,75,0,25,0
6,2,3,4,1,4,4,5,2,4,4,4,3,5,4,5,4,40,20,0,40
7,1,2,3,4,4,4,4,2,5,5,4,4,4,3,3,3,25,50,25,0
8,2,3,1,4,3,4,3,4,4,3,4,4,4,3,3,3,25,25,50,0
9,2,4,3,1,2,4,4,3,3,3,4,4,5,4,5,4,50,0,0,50
10,1,3,2,4,5,5,5,3,3,3,4,4,4,3,3,3,10,0,30,0